,gene,ID,TCGA,r_value,p_value,sample_size
0,LINC02082,ENSG00000242268,CHOL,False,False,10
1,LINC02082,ENSG00000242268,DLBC,False,False,8
2,LINC02082,ENSG00000242268,USC,-0.08864710149129235,0.5490679290917662,48
0,AC090241.2,ENSG00000270112,CHOL,False,False,12
1,AC090241.2,ENSG00000270112,DLBC,False,False,24
2,AC090241.2,ENSG00000270112,USC,-0.1502278021679087,0.3362742699319218,43
0,RAB4B,ENSG00000167578,CHOL,-0.025421036668385893,0.8683478305763743,45
1,RAB4B,ENSG00000167578,DLBC,-0.2267175423598287,0.12123846551573528,48
2,RAB4B,ENSG00000167578,USC,0.09962322755833475,0.46507382218704196,56
0,False,ENSG00000273842,CHOL,False,False,0
1,False,ENSG00000273842,DLBC,False,False,0
2,False,ENSG00000273842,USC,False,False,0
0,TIGAR,ENSG00000078237,CHOL,0.3991709429891732,0.006601647947010705,45
1,TIGAR,ENSG00000078237,DLBC,0.2683347887600027,0.0651753293055725,48
2,TIGAR,ENSG00000078237,USC,-0.052161776585502556,0.7026103503158454,56
0,RNF44,ENSG00000146083,CHOL,0.42433067636975386,0.0036719374157621913,45
1,RNF44,ENSG00000146083,DLBC,0.4056346357359189,0.004232039086058076,48
2,RNF44,ENSG00000146083,USC,0.20018928484784956,0.13905698466981498,56
0,NUP210P2,ENSG00000225275,CHOL,False,False,0
1,NUP210P2,ENSG00000225275,DLBC,False,False,2
2,NUP210P2,ENSG00000225275,USC,False,False,10
0,DNAH3,ENSG00000158486,CHOL,-0.0756263687167986,0.6256159491134965,44
1,DNAH3,ENSG00000158486,DLBC,0.07088968457842253,0.6320844656848541,48
2,DNAH3,ENSG00000158486,USC,-0.01090262216600158,0.9370317122840844,55
0,RPL23A,ENSG00000198242,CHOL,0.029410922897068294,0.847911438352187,45
1,RPL23A,ENSG00000198242,DLBC,-0.600106802172158,6.535186544718041e-06,48
2,RPL23A,ENSG00000198242,USC,-0.07974644533264504,0.559059027986484,56
0,EHD4-AS1,ENSG00000259883,CHOL,False,False,36
1,EHD4-AS1,ENSG00000259883,DLBC,False,False,36
2,EHD4-AS1,ENSG00000259883,USC,-0.1519373198646848,0.3248424390563419,44
